대분류,소분류,연도,창업기업수
제조업,자동차 및 운송장비,2020,2695
제조업,기타제조업,2020,3041
"전기, 가스, 증기 및 공기 조절 공급업",소계,2020,26131
건설업,소계,2020,66366
서비스업,소계,2020,1329148
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2020,882
서비스업,도매 및 소매업,2020,390055
서비스업,운수 및 창고업,2020,61463
서비스업,숙박 및 음식점업,2020,166548
서비스업,정보통신업,2020,36760
서비스업,금융 및 보험업,2020,8245
서비스업,부동산업,2020,437853
서비스업,전문 과학 및 기술 서비스업,2020,54411
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2020,47070
서비스업,교육 서비스업,2020,39056
서비스업,보건업 및 사회복지 서비스업,2020,4939
서비스업,예술 스포츠 및 여가관련 서비스업,2020,27904
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2020,53962
합계,소계,2021,1417973
합계,기술기반업종,2021,239620
"농업, 임업 및 어업 및 광업",소계,2021,13958
제조업,소계,2021,47989
제조업,음식료품 및 음료,2021,7427
제조업,섬유 및 가죽,2021,6275
제조업,목재 가구 및 종이제품,2021,3220
제조업,인쇄 및 기록매체 복제업,2021,988
제조업,고무 및 화학제품,2021,4678
제조업,기계 금속,2021,12894
제조업,전기. 전자 및 정밀기기,2021,6761
제조업,자동차 및 운송장비,2021,2798
제조업,기타제조업,2021,2948
"전기, 가스, 증기 및 공기 조절 공급업",소계,2021,24146
건설업,소계,2021,71489
서비스업,소계,2021,1260391
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2021,752
서비스업,도매 및 소매업,2021,425446
서비스업,운수 및 창고업,2021,66723
서비스업,숙박 및 음식점업,2021,161283
서비스업,정보통신업,2021,45578
서비스업,금융 및 보험업,2021,10833
서비스업,부동산업,2021,317384
서비스업,전문 과학 및 기술 서비스업,2021,65134
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2021,38675
서비스업,교육 서비스업,2021,40793
서비스업,보건업 및 사회복지 서비스업,2021,5094
서비스업,예술 스포츠 및 여가관련 서비스업,2021,26576
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2021,56120
합계,소계,2022,1317479
합계,기술기반업종,2022,229416
