대분류,소분류,연도,창업기업수
"전기, 가스, 증기 및 공기 조절 공급업",소계,2020,757
건설업,소계,2020,10639
서비스업,소계,2020,93568
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2020,321
서비스업,도매 및 소매업,2020,33683
서비스업,운수 및 창고업,2020,1696
서비스업,숙박 및 음식점업,2020,1644
서비스업,정보통신업,2020,9059
서비스업,금융 및 보험업,2020,4523
서비스업,부동산업,2020,18809
서비스업,전문 과학 및 기술 서비스업,2020,14421
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2020,5595
서비스업,교육 서비스업,2020,1578
서비스업,보건업 및 사회복지 서비스업,2020,76
서비스업,예술 스포츠 및 여가관련 서비스업,2020,1088
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2020,1075
합계,소계,2021,126905
합계,기술기반업종,2021,46837
"농업, 임업 및 어업 및 광업",소계,2021,2674
제조업,소계,2021,13447
제조업,음식료품 및 음료,2021,1136
제조업,섬유 및 가죽,2021,1193
제조업,목재 가구 및 종이제품,2021,786
제조업,인쇄 및 기록매체 복제업,2021,180
제조업,고무 및 화학제품,2021,1950
제조업,기계 금속,2021,3652
제조업,전기. 전자 및 정밀기기,2021,2848
제조업,자동차 및 운송장비,2021,1157
제조업,기타제조업,2021,545
"전기, 가스, 증기 및 공기 조절 공급업",소계,2021,537
건설업,소계,2021,10754
서비스업,소계,2021,99493
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2021,277
서비스업,도매 및 소매업,2021,33083
서비스업,운수 및 창고업,2021,1851
서비스업,숙박 및 음식점업,2021,1688
서비스업,정보통신업,2021,10331
서비스업,금융 및 보험업,2021,6101
서비스업,부동산업,2021,20037
서비스업,전문 과학 및 기술 서비스업,2021,16517
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2021,5734
서비스업,교육 서비스업,2021,1699
서비스업,보건업 및 사회복지 서비스업,2021,96
서비스업,예술 스포츠 및 여가관련 서비스업,2021,1077
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2021,1002
합계,소계,2022,113889
합계,기술기반업종,2022,44797
"농업, 임업 및 어업 및 광업",소계,2022,2152
제조업,소계,2022,12121
제조업,음식료품 및 음료,2022,1015
제조업,섬유 및 가죽,2022,993
제조업,목재 가구 및 종이제품,2022,700
제조업,인쇄 및 기록매체 복제업,2022,175
제조업,고무 및 화학제품,2022,1684
제조업,기계 금속,2022,3330
제조업,전기. 전자 및 정밀기기,2022,2592
제조업,자동차 및 운송장비,2022,1172
제조업,기타제조업,2022,460
"전기, 가스, 증기 및 공기 조절 공급업",소계,2022,533
건설업,소계,2022,8801
서비스업,소계,2022,90282
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2022,241
서비스업,도매 및 소매업,2022,29818
서비스업,운수 및 창고업,2022,1715
서비스업,숙박 및 음식점업,2022,1814
서비스업,정보통신업,2022,9520
서비스업,금융 및 보험업,2022,5155
서비스업,부동산업,2022,15839
서비스업,전문 과학 및 기술 서비스업,2022,16314
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2022,5819
서비스업,교육 서비스업,2022,1838
서비스업,보건업 및 사회복지 서비스업,2022,76
서비스업,예술 스포츠 및 여가관련 서비스업,2022,1175
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2022,958
합계,소계,2023,98294
합계,기술기반업종,2023,40903
"농업, 임업 및 어업 및 광업",소계,2023,2143
제조업,소계,2023,11309
제조업,음식료품 및 음료,2023,993
제조업,섬유 및 가죽,2023,891
제조업,목재 가구 및 종이제품,2023,639
제조업,인쇄 및 기록매체 복제업,2023,131
제조업,고무 및 화학제품,2023,1561
제조업,기계 금속,2023,3103
제조업,전기. 전자 및 정밀기기,2023,2273
제조업,자동차 및 운송장비,2023,1212
제조업,기타제조업,2023,506
"전기, 가스, 증기 및 공기 조절 공급업",소계,2023,504
