대분류,소분류,연도,창업기업수
제조업,자동차 및 운송장비,2020,1521
제조업,기타제조업,2020,2486
"전기, 가스, 증기 및 공기 조절 공급업",소계,2020,25374
건설업,소계,2020,55727
서비스업,소계,2020,1235580
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2020,561
서비스업,도매 및 소매업,2020,356372
서비스업,운수 및 창고업,2020,59767
서비스업,숙박 및 음식점업,2020,164904
서비스업,정보통신업,2020,27701
서비스업,금융 및 보험업,2020,3722
서비스업,부동산업,2020,419044
서비스업,전문 과학 및 기술 서비스업,2020,39990
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2020,41475
서비스업,교육 서비스업,2020,37478
서비스업,보건업 및 사회복지 서비스업,2020,4863
서비스업,예술 스포츠 및 여가관련 서비스업,2020,26816
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2020,52887
합계,소계,2021,1291068
합계,기술기반업종,2021,192783
"농업, 임업 및 어업 및 광업",소계,2021,11284
제조업,소계,2021,34542
제조업,음식료품 및 음료,2021,6291
제조업,섬유 및 가죽,2021,5082
제조업,목재 가구 및 종이제품,2021,2434
제조업,인쇄 및 기록매체 복제업,2021,808
제조업,고무 및 화학제품,2021,2728
제조업,기계 금속,2021,9242
제조업,전기. 전자 및 정밀기기,2021,3913
제조업,자동차 및 운송장비,2021,1641
제조업,기타제조업,2021,2403
"전기, 가스, 증기 및 공기 조절 공급업",소계,2021,23609
건설업,소계,2021,60735
서비스업,소계,2021,1160898
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2021,475
서비스업,도매 및 소매업,2021,392363
서비스업,운수 및 창고업,2021,64872
서비스업,숙박 및 음식점업,2021,159595
서비스업,정보통신업,2021,35247
서비스업,금융 및 보험업,2021,4732
서비스업,부동산업,2021,297347
서비스업,전문 과학 및 기술 서비스업,2021,48617
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2021,32941
서비스업,교육 서비스업,2021,39094
서비스업,보건업 및 사회복지 서비스업,2021,4998
서비스업,예술 스포츠 및 여가관련 서비스업,2021,25499
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2021,55118
합계,소계,2022,1203590
합계,기술기반업종,2022,184619
"농업, 임업 및 어업 및 광업",소계,2022,13600
제조업,소계,2022,29474
제조업,음식료품 및 음료,2022,4970
제조업,섬유 및 가죽,2022,4462
제조업,목재 가구 및 종이제품,2022,2087
제조업,인쇄 및 기록매체 복제업,2022,704
제조업,고무 및 화학제품,2022,2312
제조업,기계 금속,2022,8065
제조업,전기. 전자 및 정밀기기,2022,3400
제조업,자동차 및 운송장비,2022,1455
제조업,기타제조업,2022,2019
"전기, 가스, 증기 및 공기 조절 공급업",소계,2022,23240
건설업,소계,2022,58470
서비스업,소계,2022,1078806
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2022,463
서비스업,도매 및 소매업,2022,426608
서비스업,운수 및 창고업,2022,64083
서비스업,숙박 및 음식점업,2022,154675
서비스업,정보통신업,2022,36521
서비스업,금융 및 보험업,2022,3386
서비스업,부동산업,2022,189922
서비스업,전문 과학 및 기술 서비스업,2022,41721
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2022,33472
서비스업,교육 서비스업,2022,40698
서비스업,보건업 및 사회복지 서비스업,2022,4739
서비스업,예술 스포츠 및 여가관련 서비스업,2022,27143
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2022,55375
합계,소계,2023,1140323
합계,기술기반업종,2023,180533
"농업, 임업 및 어업 및 광업",소계,2023,12107
제조업,소계,2023,25971
제조업,음식료품 및 음료,2023,4440
제조업,섬유 및 가죽,2023,3748
제조업,목재 가구 및 종이제품,2023,1734
제조업,인쇄 및 기록매체 복제업,2023,651
제조업,고무 및 화학제품,2023,1976
제조업,기계 금속,2023,7170
제조업,전기. 전자 및 정밀기기,2023,2905
제조업,자동차 및 운송장비,2023,1431
제조업,기타제조업,2023,1916
"전기, 가스, 증기 및 공기 조절 공급업",소계,2023,31042
건설업,소계,2023,54033
서비스업,소계,2023,1017170
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2023,456
서비스업,도매 및 소매업,2023,421951
서비스업,운수 및 창고업,2023,59600
서비스업,숙박 및 음식점업,2023,167028
서비스업,정보통신업,2023,36687
서비스업,금융 및 보험업,2023,3403
서비스업,부동산업,2023,117855
서비스업,전문 과학 및 기술 서비스업,2023,38473
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2023,36881
서비스업,교육 서비스업,2023,42780
서비스업,보건업 및 사회복지 서비스업,2023,4472
서비스업,예술 스포츠 및 여가관련 서비스업,2023,26570
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2023,61014
합계,소계,2024,1083150
합계,기술기반업종,2024,175289
"농업, 임업 및 어업 및 광업",소계,2024,12503
제조업,소계,2024,24106
제조업,음식료품 및 음료,2024,4367
제조업,섬유 및 가죽,2024,3464
제조업,목재 가구 및 종이제품,2024,1520
제조업,인쇄 및 기록매체 복제업,2024,656
제조업,고무 및 화학제품,2024,1953
제조업,기계 금속,2024,6313
제조업,전기. 전자 및 정밀기기,2024,2673
제조업,자동차 및 운송장비,2024,1301
제조업,기타제조업,2024,1859
"전기, 가스, 증기 및 공기 조절 공급업",소계,2024,31756
건설업,소계,2024,53250
서비스업,소계,2024,961535
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2024,588
서비스업,도매 및 소매업,2024,386274
서비스업,운수 및 창고업,2024,60051
서비스업,숙박 및 음식점업,2024,153952
서비스업,정보통신업,2024,32224
서비스업,금융 및 보험업,2024,3264
서비스업,부동산업,2024,107814
서비스업,전문 과학 및 기술 서비스업,2024,40114
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2024,38471
서비스업,교육 서비스업,2024,43262
서비스업,보건업 및 사회복지 서비스업,2024,4657
서비스업,예술 스포츠 및 여가관련 서비스업,2024,24884
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2024,65980
합계,소계,2025,1037445
합계,기술기반업종,2025,181817
"농업, 임업 및 어업 및 광업",소계,2025,13208
제조업,소계,2025,22130
제조업,음식료품 및 음료,2025,3775
제조업,섬유 및 가죽,2025,3338
제조업,목재 가구 및 종이제품,2025,1448
제조업,인쇄 및 기록매체 복제업,2025,562
제조업,고무 및 화학제품,2025,1845
제조업,기계 금속,2025,5716
제조업,전기. 전자 및 정밀기기,2025,2400
제조업,자동차 및 운송장비,2025,1159
제조업,기타제조업,2025,1887
"전기, 가스, 증기 및 공기 조절 공급업",소계,2025,22350
건설업,소계,2025,49539
서비스업,소계,2025,930218
서비스업,수도 하수 및 폐기물 처리 원료 재생업,2025,725
서비스업,도매 및 소매업,2025,379134
서비스업,운수 및 창고업,2025,59087
서비스업,숙박 및 음식점업,2025,135490
서비스업,정보통신업,2025,38843
서비스업,금융 및 보험업,2025,3514
서비스업,부동산업,2025,98388
서비스업,전문 과학 및 기술 서비스업,2025,42765
서비스업,사업시설 관리 사업 지원 및 임대 서비스업,2025,37713
서비스업,교육 서비스업,2025,43555
서비스업,보건업 및 사회복지 서비스업,2025,4149
서비스업,예술 스포츠 및 여가관련 서비스업,2025,24546
서비스업,협회 및 단체 수리 및 기타 개인 서비스업,2025,62309
